sequence,hash,date,type,release,capabilities,subject_capabilities,references,files,insertions,deletions,subject
1,c4aeedd1d1ec532faafae441f4f6b651ef6e1d6b,2026-02-07T16:49:20-05:00,feature,no,queen;drones;settings;testing_quality,drones,,4,1270,0,Add circuit breakers & adaptive polling to Buzz pilot
2,88b5a44f4fdfe8024c5c27298197052a921477ee,2026-02-07T18:56:40-05:00,feature,no,security_auth;providers,,,1,154,0,"Add README with project overview, usage, and architecture"
3,b8cca43b6c3d340829b33654dbac89f78f551724,2026-02-07T18:58:24-05:00,feature,no,terminal;tasks;queen;worker_state;workers;settings;providers;deploy_release;ui_ux;testing_quality,,,77,8212,0,Add complete swarm application — v1.0.0
4,79f2bdc7f63c7178b7cd43850ef18ab2da0e0deb,2026-02-07T20:23:44-05:00,feature,no,workers;security_auth;settings;providers;ui_ux;testing_quality,workers;settings;ui_ux,,19,2106,39,"Add config editor, launch modal, web control, and UI polish"
5,6ffc96abc12af4b569cc6fad0e38e85d107d46e2,2026-02-08T09:57:53-05:00,refactor,no,terminal;queen;drones;workers;resources;settings;providers;ui_ux;testing_quality,terminal;drones;resources,,37,897,554,Rename buzz module to drones and fix tmux click-to-swap hook
6,7477f44936d54c26499710e70e9956b8c1ffe018,2026-02-08T11:17:28-05:00,fix,no,terminal;tasks;workers;settings;ui_ux,workers;settings;ui_ux,,6,135,24,"Fix web UI worker clicks, config sync, and state dot colors"
7,1e41a2fb4c0d574400cb237f72967fe224b19b11,2026-02-08T11:48:01-05:00,feature,no,tasks;workers;settings;ui_ux,,,9,757,31,Add WUI/TUI feature parity — 15 new features across both UIs
8,98dc9d2d4c9c603c052a00075d1ef5856ccaa4e5,2026-02-08T11:58:04-05:00,fix,no,terminal;tasks;queen;drones;workers;settings;ui_ux;testing_quality,testing_quality,,30,301,127,Fix all 129 ruff lint errors across entire codebase
9,a031826bbe41ac6c8085d29cce04e9721fcbb0f9,2026-02-08T12:06:07-05:00,feature,no,workers;settings;providers;testing_quality,workers;providers,,6,517,0,Add Claude Code skills and pre-commit hook
10,19bb175a4b3f24cfc3496d7a8af64b3fc42fb30a,2026-02-08T12:23:17-05:00,fix,no,terminal;tasks;queen;drones;worker_state;workers;settings;ui_ux;testing_quality,testing_quality,,31,317,200,Fix 40 bugs from deep code review across entire codebase
11,9c1dc4e12b84751043a3f83d64f6ba2bf44ca9f0,2026-02-08T12:40:45-05:00,fix,no,terminal;queen;worker_state;workers;settings;ui_ux;testing_quality,testing_quality,,13,584,298,Fix 15 bugs and improvements from codebase review
12,85de23089ce4c945583dc6b2cd490ca59a001fdb,2026-02-08T12:41:57-05:00,other,no,terminal;tasks;queen;drones;workers;security_auth;providers;deploy_release;ui_ux;testing_quality,testing_quality,,23,356,242,Apply ruff format across entire codebase
13,2dc866f4f5e714f93e0961ce4fafd5c936f6fc63,2026-02-08T12:43:30-05:00,other,no,workers;providers;testing_quality,workers,,2,37,14,Enforce clean tree in commit and check skills
14,9d3a10f68547d0ddbd759e76e7a64a44b6ef7797,2026-02-08T13:13:49-05:00,other,no,terminal;tasks;queen;drones;workers;security_auth;settings;ui_ux;testing_quality,security_auth;testing_quality,,16,521,174,"Round 2 codebase review: 14 fixes across security, concurrency, TUI, portability"
15,bbe5f3c102f435be17eeb555fb52e84e3abaea8a,2026-02-08T13:30:32-05:00,fix,no,terminal;tasks;ui_ux,ui_ux,,4,185,21,"Fix 6 bugs: deadlock, layout, web status, TUI/WUI state sharing"
16,088fa50d9fe708a16b7316130b5b68743e164823,2026-02-08T14:44:32-05:00,other,no,terminal;workers;settings;deploy_release;ui_ux,workers;settings;deploy_release,,7,327,95,"Auto-launch workers from TUI, fix config discovery, update README"
17,e3f2c0a0333ecb7f643170e26398e24838e8509b,2026-02-08T15:44:12-05:00,other,no,drones;workers;messaging;settings;ui_ux,drones;workers;messaging,,2,38,11,"Sync TUI/WUI state: broadcast worker changes, replay drone log history"
18,609d8e74e2022c099c7504f2a9d060c44d11bdf3,2026-02-08T19:16:48-05:00,refactor,no,tasks;drones;workers;ui_ux;testing_quality,,,11,1369,735,Centralize all operations behind SwarmDaemon — eliminate TUI/WUI/API duplication
19,62570e9386b287d18df51a42182b388e19d36f0e,2026-02-08T19:44:45-05:00,fix,no,ui_ux,,,3,29,24,Fix TUI bypassing daemon layer: standardize all operations through SwarmDaemon
